Type,Timestamp,ProcessStepName,Parameter,Pump To Pressure,Pump Pressure,Step Time,Log Interval,Pump Time,CHF3 (100) (sccm),CF4 (100) (sccm),SF6 (100) (sccm),C4F8 (100) (sccm),Ar (100) (sccm),O2 (100) (sccm),Table Temperature (C),Water Temperature (C),Process State,Elapsed Time,Ignore Tolerance,Rf Hold,Pressure (mTorr),Position (Deg),Position Mode,LPS Strike Pressure (mTorr),LPS Dc Bias (volts),LPS Ramp Rate,HF Power (W),HF Reflected Power (W),ICP Power (W),ICP Reflected Power (W),Upper Magnitude (%),Upper Phase (%),Lower Magnitude (%),Lower Phase (%),DC Bias (V),Lf232 Power (W),Lf232 Reflected Power (W),Tune (%),Load (%),Hold,Manual,Frequency (kHz),Pulsed,Hi Power (W),Low Power (W),Pulse Time (Hz),Duty Cycle (%),Helium Pressure (Torr),Helium Flow,Helium Flow[1],He Leak Mode,Endpoint State,Endpoint,Signal Smooth Time (Secs),Endpoint Closed Time (Secs),Endpoint Type,Endpoint Threshold Type,Endpoint Normalisation Time (Secs),Endpoint Normalisation (percent),Endpoint OverEtch Time (Secs),Endpoint Threshold (percent),Endpoint Capture Time (Secs),Endpoint OverEtch (percent),Etch Depth,Refractive Index,Laser Wavelength,Etch Depth[1],Etch Rate,Derivative Smooth Time (Secs),Derivative Gain,Endpoint Type[1],Wavelength 1 (%),Wavelength 2 (%),Wavelength 3 (%),Integration Time (ms),Sample Average,Boxcar Width,taskID,BatchID,LotID,recipe,UID,user
Event,2024/08/29 15:23:46.001,OPT - Pump,Demands,On,7.01e-06,00:00:00.000,00:00:05.000,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,15 ,15 ,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:23:51.290,OPT - Pump,Readbacks,,6.46e-07,00:00:00.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,22 ,14 ,Process started  all tolerances OK,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Event,2024/08/29 15:23:51.291,OPT - O2 CHAMBER CLEAN,Demands,Off,7.50e-09,03:00:00.000,00:00:05.000,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,20 ,15 ,,0.001,Off,Off,50.0 ,0.0 ,pressure,0.0 ,0 ,0 ,200 ,,2000 ,,34.0 ,37.0 ,55.0 ,67.0 ,,0 ,,0 ,0 ,Off,Off,350 ,Off,0 ,0 ,     0 ,  0 ,0.0 ,,0.0 ,    0 ,,, 0 , 0 ,Signal,Rising, 0 ,0 , 0 ,0 , 0 ,0 ,1.0 ,1.00 ,500.0 ,,, 0 ,0.1 ,0,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:23:56.679,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,03:00:00.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,22 ,14 ,APC pressure stabilization time - 13 secs,5.389,,,6.3 ,86.0 ,,,,,0 ,0 ,0 ,0 ,33.8 ,37.0 ,54.3 ,66.6 ,0.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:01.694,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,03:00:00.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.2 ,22 ,14 ,APC pressure stabilization time - 13 secs,10.404,,,39.8 ,25.4 ,,,,,0 ,0 ,0 ,0 ,33.7 ,36.9 ,54.2 ,66.6 ,0.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:06.709,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,03:00:00.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.8 ,22 ,14 ,APC pressure stabilization time - 8 secs,15.419,,,50.1 ,27.0 ,,,,,0 ,0 ,0 ,0 ,33.8 ,37.0 ,54.3 ,66.6 ,0.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:11.725,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,03:00:00.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,APC pressure stabilization time - 4 secs,20.435,,,50.6 ,26.9 ,,,,,0 ,0 ,0 ,0 ,33.8 ,37.0 ,54.3 ,66.7 ,0.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:16.756,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:58.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,25.466,,,53.0 ,33.0 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,58.5 ,68.4 ,510.9 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:21.787,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:53.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.2 ,22 ,14 ,Process started  all tolerances OK,30.497,,,50.6 ,28.8 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,61.9 ,67.8 ,499.9 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:26.849,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:48.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.6 ,22 ,14 ,Process started  all tolerances OK,35.559,,,50.5 ,28.4 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.0 ,67.8 ,500.6 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
