Type,Timestamp,ProcessStepName,Parameter,Ignore Tolerance,Pump To Pressure,Pump Pressure,Step Time,Pump Time,Pressure (mTorr),Position (Deg),HF Power (W),HF Reflected Power (W),Lower Magnitude (%),Lower Phase (%),DC Bias (V),CHF3 100 (sccm),Ar 100 (sccm),O2 50 (sccm),CF4 50 (sccm),SF6 100 (sccm),Temp (C),Chiller Temp (C),Endpoint State,Endpoint,Signal Smooth Time (Secs),Endpoint Closed Time (Secs),Endpoint Type,Endpoint Threshold Type,Endpoint Normalisation Time (Secs),Endpoint Normalisation (percent),Endpoint OverEtch Time(Secs),Endpoint Threshold (percent),Endpoint Capture Time (Secs),Endpoint OverEtch (percent),Etch Depth,Refractive Index,Laser Wavelength,Etch Depth[1],Etch Rate,Derivative Smooth Time (Secs),Derivative Gain,Endpoint Type[1],Wavelength 1 (%),Wavelength 2 (%),Wavelength 3 (%),Integration Time (ms),Sample Average,Boxcar Width,Process State,Elapsed Time,taskID,BatchID,LotID,recipe,UID,user
Event, 2024/06/24 19:40:04.000,Chamber Clean,Demands,Off,Off,7.50E-09,10:00.0,00:00.0,100,0,250,,0,0,,0,0,50,0,0,20,,,,0,0,Signal,Rising,0,0,,0,0,0,1,1,500,,,0,0.1,0,180,180,180,4,1,0,,,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:05.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,0.2,0,0,0,65,33,0,0,0,49.6,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 5 secs,1.471,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:06.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,0.2,0,0,0,65,33,0,0,0,49.8,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 5 secs,2.518,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:07.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,11.8,0,0,0,65,33,0,0,0,49.8,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 5 secs,3.564,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:08.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,54.3,2.5,0,0,65,33,0,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 5 secs,4.609,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:09.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,94.7,10.5,0,0,65,33,0,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 5 secs,5.623,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:10.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,100.3,11.9,0,0,65,33,0,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 4 secs,6.681,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:11.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,100,12,0,0,65,33,0,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 3 secs,7.729,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:12.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,100,12,0,0,65,33,0,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 2 secs,8.771,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
Data, 2024/06/24 19:40:13.000,Chamber Clean,Readbacks,,,7.50E-09,10:00.0,00:00.0,100,12,0,0,65,33,0,0,0,49.9,0,0,,20,OFF,3.2,,,,,,,,,,,,,,off,off,,,,99,99,99,,,,APC pressure stabilization time - 1 secs,9.802999,,<No Wafer>,<No Wafer>,OPT - Chamber Clean - edited,,View Only
